Rank,Release Group,Worldwide,Domestic,%,Foreign,%
282,JT LeRoy 2021 Re-release,"$16,549",-,-,"$16,549",100%
283,Ya Baada,"$16,310",-,-,"$16,310",100%
284,Raphael - A Sensitive Genius,"$15,454",-,-,"$15,454",100%
285,Easter in Art,"$15,315",-,-,"$15,315",100%
286,We Broke Up,"$15,063","$15,063",100%,-,-
287,The Pink Cloud,"$14,989",-,-,"$14,989",100%
288,Double Patty,"$14,982",-,-,"$14,982",100%
289,The Barber of Siberia 2021 Re-release,"$14,979",-,-,"$14,979",100%
290,Barb and Star Go to Vista Del Mar,"$14,959",-,-,"$14,959",100%
291,Exodus 2021 Re-release,"$14,822",-,-,"$14,822",100%
292,Dino Dana: The Movie,"$14,259",-,-,"$14,259",100%
293,You Don't Mess with Little Bugs 2021 Re-release,"$13,621",-,-,"$13,621",100%
294,Body Brokers,"$13,472",-,-,"$13,472",100%
295,Stray,"$13,428","$13,325",99.2%,$103,0.8%
296,After Chernobyl,"$12,229",-,-,"$12,229",100%
297,Kaadan,"$12,226",-,-,"$12,226",100%
298,È per il tuo bene,"$12,023",-,-,"$12,023",100%
299,The Devil Below,"$12,008",-,-,"$12,008",100%
300,Rurangi,"$11,624",-,-,"$11,624",100%
301,The Very Excellent Mr. Dundee,"$11,529",-,-,"$11,529",100%
302,Bennett's War 2021 Re-release,"$11,213",-,-,"$11,213",100%
303,About Hope,"$10,814","$10,814",100%,-,-
304,The Murder of Nicole Brown Simpson 2021 Re-release,"$10,638",-,-,"$10,638",100%
305,The Host,"$10,305",-,-,"$10,305",100%
306,All Hands on Deck,"$10,103",-,-,"$10,103",100%
307,Ramprasad Ki Tehrvi,"$9,727",-,-,"$9,727",100%
308,99 Songs,"$9,703",-,-,"$9,703",100%
309,Average Joe,"$9,176","$9,176",100%,-,-
310,Sheena667,"$9,139",-,-,"$9,139",100%
311,Here We Are,"$9,128",-,-,"$9,128",100%
312,Sandeep Aur Pinky Faraar,"$8,735",-,-,"$8,735",100%
313,Juliet of the Spirits,"$8,734",-,-,"$8,734",100%
314,Emily and the Magical Journey,"$8,651",-,-,"$8,651",100%
315,The Delivered,"$8,623",-,-,"$8,623",100%
316,What Lies Below,"$8,550",-,-,"$8,550",100%
317,The Incredible 25th Year of Mitzi Bearclaw,"$7,607","$7,607",100%,-,-
318,Daughter of the Wolf,"$7,504",-,-,"$7,504",100%
319,A Perfect Enemy,"$7,113",-,-,"$7,113",100%
320,Europa 2021 Re-release,"$7,068",-,-,"$7,068",100%
321,Knuckledust,"$6,428",-,-,"$6,428",100%
322,Hunted,"$6,391",-,-,"$6,391",100%
323,Sumikko Gurashi the Movie: The Unexpected Picture Book and the Secret Child 2021 Re-release,"$6,332",-,-,"$6,332",100%
324,The Boonies,"$6,157","$6,157",100%,-,-
325,Abandoned: Angelique's Isle,"$6,055","$6,055",100%,-,-
326,Dark State,"$5,824","$5,824",100%,-,-
327,Uppena,"$5,794",-,-,"$5,794",100%
328,Jack and the Cuckoo-Clock Heart 2021 Re-release,"$5,532",-,-,"$5,532",100%
329,Tomato Red: Blood Money,"$5,504","$5,504",100%,-,-
330,Things Don't Stay Fixed,"$5,430","$5,430",100%,-,-
331,Zombie Bro,"$5,208","$5,208",100%,-,-
332,Chasing the Dragon II: Wild Wild Bunch 2021 Re-release,"$5,105",-,-,"$5,105",100%
333,Dreamcatcher,"$5,033",-,-,"$5,033",100%
334,Bloodbrothers Undated Domestic Release,"$4,844","$4,844",100%,-,-
335,Wander,"$4,609",-,-,"$4,609",100%
336,James & Isey,"$4,483",-,-,"$4,483",100%
337,Blood Brothers: Civil War,"$4,456","$4,456",100%,-,-
338,Check,"$4,363",-,-,"$4,363",100%
339,No Place,"$4,194","$4,194",100%,-,-
340,Bill Traylor: Chasing Ghosts,"$4,143","$4,143",100%,-,-
341,438 Days,"$4,076",-,-,"$4,076",100%
342,Belle & Sebastian,"$4,057",-,-,"$4,057",100%
343,Er ást,"$4,029",-,-,"$4,029",100%
344,Trash 2 Dash,"$3,965",-,-,"$3,965",100%
345,Nizhal,"$3,808",-,-,"$3,808",100%
346,Twin Murders: The Silence of the White City 2021 Re-release,"$3,803",-,-,"$3,803",100%
347,Madam Chief Minister,"$3,797",-,-,"$3,797",100%
348,Line of Descent,"$3,599",-,-,"$3,599",100%
349,Turn of the Screw,"$3,533",-,-,"$3,533",100%
350,Sweet River,"$3,365",-,-,"$3,365",100%
351,For the Sake of Vicious,"$3,131",-,-,"$3,131",100%
352,Tuesdays and Fridays,"$2,983",-,-,"$2,983",100%
353,Slalom,"$2,788","$2,788",100%,-,-
354,Fellini of the Spirits,"$2,586",-,-,"$2,586",100%
355,Mother to Earth,"$2,250","$2,250",100%,-,-
356,A Glitch in the Matrix,"$2,238","$2,238",100%,-,-
357,The Desert Project,"$2,171",-,-,"$2,171",100%
358,Chathur Mukham,"$1,819",-,-,"$1,819",100%
359,Eden,"$1,755",-,-,"$1,755",100%
360,"Do I love you, robot, do I?","$1,640",-,-,"$1,640",100%
361,Adopt a Daddy 2021 Re-release,"$1,533",-,-,"$1,533",100%
362,Stela,"$1,229",-,-,"$1,229",100%
363,Mr. Klein 2021 Re-Release,"$1,014",-,-,"$1,014",100%
364,The Shrine,$950,-,-,$950,100%
365,Crime Boss,$939,-,-,$939,100%
366,Elbow Grease,$917,$917,100%,-,-
367,Automation,$824,-,-,$824,100%
368,Smiley Face Killers,$781,-,-,$781,100%
369,First Signal,$750,$750,100%,-,-
370,The Dig,$693,-,-,$693,100%
371,Run with the Hunted,$682,-,-,$682,100%
372,Life On Deniston Plateau,$660,-,-,$660,100%
373,Oki's Movie 2021 Re-release,$636,-,-,$636,100%
374,Money Plane,$618,-,-,$618,100%
375,Marighella 2021 Re-release,$557,-,-,$557,100%
376,The Day He Arrives Original Release,$554,-,-,$554,100%
377,Eva 2021 Re-release,$457,-,-,$457,100%
378,No Time to Die,$456,-,-,$456,100%
379,Békeidö,$445,-,-,$445,100%
380,"A Pleasure, Comrades!",$417,-,-,$417,100%
381,Moscow Does Not Happen,$383,-,-,$383,100%
382,The Criminal 2021 Re-release,$341,-,-,$341,100%
383,Now,$294,-,-,$294,100%
384,Aarkkariyam,$268,-,-,$268,100%
385,American Desert,$244,-,-,$244,100%
386,I Blame Society,$205,-,-,$205,100%
387,Barkers: Mind the Cats!,$179,-,-,$179,100%
388,Woman on the Beach 2021 Re-release,$160,-,-,$160,100%
389,Distorted 2021 Re-release,$152,-,-,$152,100%
390,Billie Eilish: The World's a Little Blurry,$139,-,-,$139,100%
391,Fate/Grand Order: First Order,$82,-,-,$82,100%
392,Dolgaya doroga domoy 2021 Re-release,$70,-,-,$70,100%
393,Cross of Iron,$67,-,-,$67,100%
